variant,global_step,cumulative_train_tokens,cumulative_train_gpu_hours,validation_loss,validation_perplexity,sciq_acc,sciq_acc_norm,sciq_acc_stderr,sciq_acc_norm_stderr,sciq_examples
raw,0,0,0.0,2.4775853157043457,11.9124648191519,0.931,0.904,0.008018934050315124,0.009320454434783257,1000
raw,250,4096000,0.09414857842916657,2.624058485031128,13.791583089447636,0.901,0.866,0.009449248027662746,0.010777762298369738,1000
raw,500,8192000,0.18783885589444468,2.636528253555298,13.964637671019158,0.892,0.859,0.009820001651345708,0.01101091459599248,1000
raw,750,12288000,0.28194138690000076,2.6367571353912354,13.967834288737414,0.885,0.854,0.010093407594904551,0.011171786285496551,1000
raw,1000,16384000,0.37584112992805707,2.641533851623535,14.034714275707415,0.865,0.84,0.010811655372416006,0.011598902298689068,1000
raw,1250,20480000,0.46938277227972447,2.6340415477752686,13.929954866644026,0.865,0.817,0.010811655372416006,0.012233587399477745,1000
raw,1500,24576000,0.5625226770430577,2.6326732635498047,13.910907763035945,0.878,0.846,0.010354864712936776,0.011419913065098805,1000
raw,1750,28672000,0.654940342886114,2.63618803024292,13.959887383859604,0.876,0.841,0.010427498872343873,0.011569479368271195,1000
raw,1918,31410176,0.716679798521391,2.6362900733947754,13.961311967451065,0.873,0.842,0.010534798620855644,0.011539894677559635,1000
minhashlsh,0,0,0.0,2.4775853157043457,11.9124648191519,0.931,0.904,0.008018934050315124,0.009320454434783257,1000
minhashlsh,250,4096000,0.0935168261888897,2.6256937980651855,13.81415509615222,0.914,0.897,0.008870325962594761,0.009616833339695739,1000
minhashlsh,500,8192000,0.18677293484500018,2.637739658355713,13.981564750832717,0.909,0.88,0.009099549538400337,0.010281328012747462,1000
minhashlsh,750,12288000,0.28015986487277766,2.6371917724609375,13.973906546821395,0.888,0.856,0.009977753031397177,0.01110798754893916,1000
minhashlsh,1000,16384000,0.3740608816805565,2.634884834289551,13.941706764139536,0.87,0.839,0.010640169792499236,0.011628164696727263,1000
minhashlsh,1250,20480000,0.4670653343480525,2.6308956146240234,13.886201019258793,0.869,0.841,0.0106748748448379,0.011569479368271195,1000
minhashlsh,1500,24576000,0.5602050835299976,2.637044906616211,13.97185440793051,0.87,0.84,0.010640169792499236,0.011598902298689068,1000
minhashlsh,1750,28672000,0.6542333237638847,2.6360628604888916,13.95814013754298,0.87,0.837,0.010640169792499236,0.011686212712746913,1000
minhashlsh,1759,28805120,0.6573102336894403,2.637031316757202,13.9716645336892,0.869,0.841,0.0106748748448379,0.011569479368271195,1000
